"component_id","stable_key","geometric_side_provisional","vertex_count","face_count","dominant_groups","technical_flags","semantic_name","region","material_family","deformation_type","risk_level","action","evidence","target_parent","notes"
"46","C046-V059889","LEFT","3015","5723","forearm.L:1921.533845|upper_arm.L:1085.158279|clavicle.L:6.733740|chest:1.132906|spine_02:0.441243","","","","","","","","","",""
"47","C047-V067764","LEFT","250","407","chest:120.594579|spine_02:104.554750|upper_arm.L:20.376177|clavicle.L:4.474495","","","","","","","","","",""
"48","C048-V068836","CENTER","5289","10194","thigh.R:3499.727584|spine_01:850.086090|pelvis:735.019458|spine_02:204.166883","CROSSES_CENTER_PLANE","","","","","","","","",""
"49","C049-V070515","RIGHT","708","1237","forearm.R:708.000000","","","","","","","","","",""
"50","C050-V070533","LEFT","1345","2510","forearm.L:1343.887319|thumb_01.L:1.112681","","","","","","","","","",""
"51","C051-V071993","RIGHT","1213","2231","thigh.R:1133.698071|thumb_01.R:78.082786|thumb_02.R:1.219141","","","","","","","","","",""
"52","C052-V072647","RIGHT","2780","5253","clavicle.R:1902.947678|head:525.932670|chest:224.392449|spine_02:79.295356|neck:25.662270|upper_arm.R:19.654771|clavicle.L:2.114808","","","","","","","","","",""
"53","C053-V074931","RIGHT","5654","10866","forearm.R:2311.925071|pinky_01.R:764.374219|pinky_02.R:575.828478|thumb_02.R:501.055570|index_01.R:438.905159|pinky_03.R:431.077241|hand.R:339.099931|thumb_01.R:199.486018","","","","","","","","","",""
"54","C054-V078402","CENTER","2930","5529","head:1944.646360|clavicle.L:702.995507|neck:280.884724|clavicle.R:1.473408","CROSSES_CENTER_PLANE","","","","","","","","",""
"55","C055-V080937","LEFT","20","21","spine_02:20.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"56","C056-V082354","LEFT","3","1","spine_02:3.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"57","C057-V084022","LEFT","84","137","clavicle.L:40.933038|head:35.795846|neck:7.271117","VERY_SMALL_COMPONENT","","","","","","","","",""
"58","C058-V086343","RIGHT","274","456","forearm.R:271.382007|thumb_01.R:2.617993","","","","","","","","","",""
"59","C059-V089359","LEFT","5347","10236","forearm.L:1876.182740|pinky_01.L:692.959405|pinky_03.L:530.977589|hand.L:489.665028|pinky_02.L:489.616354|thumb_02.L:447.031276|index_01.L:347.977397|thumb_01.L:149.865136","","","","","","","","","",""
"60","C060-V090276","RIGHT","3","1","shin.R:3.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"61","C061-V092550","RIGHT","1380","2551","spine_02:1170.621763|chest:209.378237","","","","","","","","","",""
"62","C062-V093695","RIGHT","698","1262","forearm.R:509.946400|hand.R:113.289701|thumb_01.R:59.419040|index_01.R:12.857994|middle_01.R:1.991226|thumb_02.R:0.317350|pinky_01.R:0.178290","","","","","","","","","",""
"63","C063-V095347","RIGHT","197","345","thumb_01.R:153.885913|forearm.R:43.114087","","","","","","","","","",""
"64","C064-V096836","RIGHT","226","378","thigh.R:226.000000","","","","","","","","","",""
"65","C065-V098930","CENTER","1323","2436","clavicle.L:986.178804|chest:170.726970|neck:56.826418|spine_02:54.056861|head:46.412318|clavicle.R:8.798634","CROSSES_CENTER_PLANE","","","","","","","","",""
"66","C066-V100027","RIGHT","48","59","forearm.R:48.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"67","C067-V100510","RIGHT","137","218","upper_arm.R:132.226597|clavicle.R:3.781567|chest:0.714883|spine_02:0.276953","","","","","","","","","",""
"68","C068-V102202","LEFT","1047","1908","upper_arm.L:437.007934|chest:397.639970|spine_02:154.626173|clavicle.L:57.725922","","","","","","","","","",""
