component_id,stable_key,minimum_vertex_index,maximum_vertex_index,vertex_count,edge_count,face_count,triangle_count,surface_area_local,geometric_side_provisional,local_centroid_x,local_centroid_y,local_centroid_z,local_minimum_x,local_minimum_y,local_minimum_z,local_maximum_x,local_maximum_y,local_maximum_z,local_dimension_x,local_dimension_y,local_dimension_z,world_centroid_x,world_centroid_y,world_centroid_z,world_minimum_x,world_minimum_y,world_minimum_z,world_maximum_x,world_maximum_y,world_maximum_z,world_dimension_x,world_dimension_y,world_dimension_z,weighted_vertices,unweighted_vertices,average_influences_per_vertex,maximum_influences_per_vertex,vertices_over_4_influences,non_normalized_weight_vertices,total_assigned_weight,average_assigned_weight_per_vertex,left_group_weight_sum,right_group_weight_sum,center_group_weight_sum,cross_side_weight_ratio,dominant_groups,technical_flags,semantic_name,region,material_family,deformation_type,risk_level,action,evidence,target_parent,notes,contextual_image_file,context_views,detail_visual_scale_factor,semantic_classification_status
10,C010-V016641,16641,83892,3842,11239,7398,7398,0.096193739,RIGHT,-0.375176332,0.104326588,0.314542901,-0.477860570,-0.013342939,0.140733063,-0.232166082,0.189498633,0.479931355,0.245694488,0.202841572,0.339198291,-0.375176332,0.104326588,0.314542901,-0.477860570,-0.013342939,0.140733063,-0.232166082,0.189498633,0.479931355,0.245694488,0.202841572,0.339198291,3842,0,2.600989068,4,0,0,3842.000001102,1.000000000,0.000000000,2857.524651808,984.475349294,0.000000000,upper_arm.R:2507.667892|chest:754.598932|forearm.R:233.334302|spine_02:229.876417|clavicle.R:116.522459,,,,,,,,,,,images/C010-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,7.222913743,PENDING
11,C011-V018149,18149,143466,4015,11701,7678,7678,0.100262633,LEFT,0.257338433,0.022844828,0.668649645,0.094086036,-0.136887595,0.495148033,0.432485521,0.183198556,0.837360859,0.338399485,0.320086151,0.342212826,0.257338433,0.022844828,0.668649645,0.094086036,-0.136887595,0.495148033,0.432485521,0.183198556,0.837360859,0.338399485,0.320086151,0.342212826,4015,0,3.110834371,4,0,0,4015.000001420,1.000000000,2854.854665131,0.000000000,1160.145336289,0.000000000,clavicle.L:1564.161203|upper_arm.L:1290.693462|head:993.527701|neck:97.720775|chest:49.608348|spine_02:19.288512,,,,,,,,,,,images/C011-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,7.159287478,PENDING
12,C012-V022173,22173,115431,2304,6617,4308,4308,0.052075084,RIGHT,-0.234382120,0.044439601,0.703909902,-0.377810866,-0.087269589,0.594934762,-0.094614066,0.160757989,0.824057817,0.283196799,0.248027578,0.229123056,-0.234382120,0.044439601,0.703909902,-0.377810866,-0.087269589,0.594934762,-0.094614066,0.160757989,0.824057817,0.283196799,0.248027578,0.229123056,2304,0,3.166232639,4,0,0,2304.000001980,1.000000001,0.000000000,1649.058188677,654.941813303,0.000000000,clavicle.R:1157.796948|head:621.020352|upper_arm.R:491.261240|neck:33.921461,,,,,,,,,,,images/C012-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,8.651227714,PENDING
13,C013-V023728,23728,28486,142,376,235,235,0.002384680,CENTER,-0.008870664,0.140889942,0.815683135,-0.028258696,0.126642168,0.790449977,0.016820425,0.157101542,0.847445309,0.045079121,0.030459374,0.056995332,-0.008870664,0.140889942,0.815683135,-0.028258696,0.126642168,0.790449977,0.016820425,0.157101542,0.847445309,0.045079121,0.030459374,0.056995332,142,0,1.992957746,2,0,0,141.999999983,1.000000000,0.000000000,0.000000000,141.999999983,,head:140.521606|neck:1.478394,CROSSES_CENTER_PLANE,,,,,,,,,,images/C013-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,42.985976284,PENDING
14,C014-V023749,23749,28412,134,346,212,212,0.001679382,LEFT,0.023449060,0.142678390,0.812822017,0.000302631,0.129341781,0.794294417,0.045259185,0.155577779,0.833831370,0.044956554,0.026235998,0.039536953,0.023449060,0.142678390,0.812822017,0.000302631,0.129341781,0.794294417,0.045259185,0.155577779,0.833831370,0.044956554,0.026235998,0.039536953,134,0,1.000000000,1,0,0,134.000000000,1.000000000,0.000000000,0.000000000,134.000000000,0.000000000,head:134.000000,,,,,,,,,,,images/C014-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,54.497059164,PENDING
15,C015-V025393,25393,63618,660,1840,1176,1176,0.010508551,RIGHT,-0.090638824,0.102950369,0.828621523,-0.140533060,0.045758713,0.775111318,-0.020886522,0.143751562,0.882991910,0.119646538,0.097992849,0.107880592,-0.090638824,0.102950369,0.828621523,-0.140533060,0.045758713,0.775111318,-0.020886522,0.143751562,0.882991910,0.119646538,0.097992849,0.107880592,660,0,1.000000000,1,0,0,660.000000000,1.000000000,0.000000000,0.000000000,660.000000000,0.000000000,head:660.000000,,,,,,,,,,,images/C015-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,20.476981950,PENDING
16,C016-V025517,25517,196513,6237,18281,12025,12025,0.133794753,RIGHT,-0.270853321,-0.067272845,-0.870200137,-0.377248943,-0.289093226,-0.993382037,-0.145502299,0.135680020,-0.727628529,0.231746644,0.424773246,0.265753508,-0.270853321,-0.067272845,-0.870200137,-0.377248943,-0.289093226,-0.993382037,-0.145502299,0.135680020,-0.727628529,0.231746644,0.424773246,0.265753508,6237,0,1.734968735,2,0,0,6237.000008958,1.000000001,0.000000000,6237.000008958,0.000000000,0.000000000,foot.R:3476.619888|shin.R:2419.716120|toe.R:340.664000,,,,,,,,,,,images/C016-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,5.767783218,PENDING
17,C017-V025520,25520,196846,4674,13733,9046,9046,0.104570071,RIGHT,-0.255106489,-0.065181455,-0.964049939,-0.393620461,-0.293784499,-0.999010146,-0.144554451,0.135680020,-0.799454629,0.249066010,0.429464519,0.199555516,-0.255106489,-0.065181455,-0.964049939,-0.393620461,-0.293784499,-0.999010146,-0.144554451,0.135680020,-0.799454629,0.249066010,0.429464519,0.199555516,4674,0,1.374197689,2,0,0,4674.000002112,1.000000000,0.000000000,4674.000002112,0.000000000,0.000000000,foot.R:4051.113333|toe.R:417.888000|shin.R:204.998669,,,,,,,,,,,images/C017-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,5.704778606,PENDING
18,C018-V026402,26402,55332,510,1402,890,890,0.008116342,CENTER,0.066550776,0.109536197,0.842078678,-0.020472785,0.067366213,0.790820897,0.117074624,0.136957601,0.882701874,0.137547409,0.069591388,0.091880977,0.066550776,0.109536197,0.842078678,-0.020472785,0.067366213,0.790820897,0.117074624,0.136957601,0.882701874,0.137547409,0.069591388,0.091880977,510,0,1.000000000,1,0,0,510.000000000,1.000000000,0.000000000,0.000000000,510.000000000,,head:510.000000,CROSSES_CENTER_PLANE,,,,,,,,,,images/C018-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,17.812040335,PENDING
19,C019-V027428,27428,110004,4201,12294,8084,8084,0.092293500,RIGHT,-0.207340243,0.082683065,-0.681954532,-0.336304188,-0.077406421,-0.816025078,-0.093542837,0.130366787,-0.484579623,0.242761351,0.207773209,0.331445456,-0.207340243,0.082683065,-0.681954532,-0.336304188,-0.077406421,-0.816025078,-0.093542837,0.130366787,-0.484579623,0.242761351,0.207773209,0.331445456,4201,0,1.472030469,2,0,0,4201.000003200,1.000000001,0.000000000,4201.000003200,0.000000000,0.000000000,shin.R:3458.660815|thigh.R:742.339188,,,,,,,,,,,images/C019-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,7.391864812,PENDING
20,C020-V028460,28460,155964,4604,13456,8824,8824,0.085277011,CENTER,0.061902702,-0.012699288,0.900880604,-0.044882763,-0.161486909,0.699674785,0.159471154,0.127946973,1.000000000,0.204353917,0.289433882,0.300325215,0.061902702,-0.012699288,0.900880604,-0.044882763,-0.161486909,0.699674785,0.159471154,0.127946973,1.000000000,0.204353917,0.289433882,0.300325215,4604,0,1.000000000,1,0,0,4604.000000000,1.000000000,0.000000000,0.000000000,4604.000000000,,head:4604.000000,CROSSES_CENTER_PLANE,,,,,,,,,,images/C020-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,8.157823182,PENDING
21,C021-V028545,28545,149964,4756,13915,9134,9134,0.100622744,LEFT,0.281184729,-0.020144460,-0.884847652,0.162746653,-0.155852541,-0.998690188,0.377133936,0.126723379,-0.727020681,0.214387283,0.282575920,0.271669507,0.281184729,-0.020144460,-0.884847652,0.162746653,-0.155852541,-0.998690188,0.377133936,0.126723379,-0.727020681,0.214387283,0.282575920,0.271669507,4756,0,1.459419680,2,0,0,4756.000019122,1.000000004,4756.000019122,0.000000000,0.000000000,0.000000000,foot.L:2947.435258|shin.L:1808.564761,,,,,,,,,,,images/C021-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,8.670236296,PENDING
